room_type_id;price_option_price;adults_number;children_number;bãi_đậu_xe;chiết_khấu_dịch_vụ_giặt_là;chiết_khấu_dịch_vụ_tại_phòng;cho_phép_order_đồ_ăn_bên_ngoài;các_kênh_truyền_hình_cáp;dịch_vụ_dọn_phòng_có_hạn_chế;dịch_vụ_giặt_ủi_có_giới_hạn;dịch_vụ_tư_vấn_khám_chữa_bệnh_từ_xa;dịch_vụ_xe_đưa_đón_miễn_phí;giao_hàng_từ_cửa_hàng_tiện_lợi_gần_đó;không_hút_thuốc;khẩu_trang_bảo_vệ;lớp_học_yoga_mỗi_ngày;massage_chân;medical_services_discount;miễn_phí_internet_không_dây;miễn_phí_thuê_yukata;miễn_phí_đồ_ăn_nhẹ;máy_chạy_bộ;máy_cà_phê_espresso_có_viên_nén;nhiều_cách_nữa_để_thanh_toán_gồm_cả_paypal;phà_đưa_đón_2_chiều;phòng_họp;phòng_tập;phù_hợp_cho_cặp_đôi;quà_tặng_miễn_phí;quầy_bar_mini_miễn_phí;suối_nước_nóng_tắm_riêng;tv_thông_minh_có_ứng_dụng;thiết_bị_wifi_bỏ_túi;thuê_xe_máy;thuê_xe_ô_tô;thuê_xe_đạp;thảm_yoga;tour_tham_quan;trà_chiều;tín_dụng_khách_sạn;voucher_mua_hàng_miễn_thuế;voucher_resort;voucher_ăn_uống;voucher_đồ_uống;vào_hồ_bơi_miễn_phí;vào_phòng_tập_ngoài_trời;vào_phòng_tập_trong_nhà;vé_công_viên_giải_trí;vé_công_viên_nước;wifi_miễn_phí;wifi_cao_cấp_miễn_phí;xe_đạp_thể_dục;xông_hơi_miễn_phí;ăn_chay;ăn_thuần_chay;đón_khách_tại_sân_bay;đưa_ra_sân_bay;đặt_không_cần_thẻ_tín_dụng;đặt_và_trả_tiền_ngay;đồ_dùng_cho_khách_nữ;đồ_uống_không_giới_hạn_có_cồn_cho_2_người;rượu;có_bữa_sáng;giảm_giá_giặt_là;giảm_giá_spa;giảm_giá_thức_ăn_dồ_uống;giặt_là_miễn_phí;không_hoàn_tiền;không_phải_thanh_toán_ngay;liệu_pháp_spa;miễn_phí_hủy;mátxa_chân;nhận_phòng_muộn_sau;nhận_phòng_sớm_từ;phục_vụ_bữa_sáng;trả_phòng_muộn_dến;tín_dụng_nhà_hàng;tín_dụng_spa;tín_dụng_thức_ăn_và_dồ_uống;tín_dụng_dồ_uống;tín_dụng_dỗ_xe;dã_gồm_bữa_sáng;dã_nhập_mã_agoda_sponsored;chiết_khấu_chiến_dịch_thúc_dẩy;chính_sách_hủy_tooltip;đã_kèm_bữa_sáng;đã_kèm_bữa_trưa;đã_kèm_bữa_tối
5878;371022.0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5878;432099.0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5878;540123.0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5879;443778.0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5879;493827.0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5879;617284.0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5880;443778.0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5880;493827.0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5880;617284.0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5881;540475.0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5881;617284.0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5881;771605.0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5882;1350000.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5883;481549.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5884;328283.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5884;352832.0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5885;353535.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5885;360339.0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5886;437710.0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5886;476120.0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5887;833333.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5887;850806.0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5888;502220.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5889;502220.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5890;270717.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5891;275000.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5891;277778.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5892;366667.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5892;369117.0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5892;370370.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5893;281391.0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5894;297082.0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5895;310286.0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5896;325206.0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5897;229779.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5897;206801.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5898;321691.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5898;257353.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5899;321691.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5899;289522.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5900;330882.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5900;351562.0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5900;310202.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5901;358796.0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5902;479352.0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5903;303309.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5904;349265.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5904;314338.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5905;395221.0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5906;532373.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;90;1;0;0
5907;583272.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;90;1;0;0
5908;637381.0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;90;1;0;0
5909;808824.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;92;1;0;0
5909;849265.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;92;0;0;0
5910;351852.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5911;370370.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5912;1147095.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5913;446952.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
5914;843370.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;100;1;0;0
5914;1296296.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5914;1425926.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5915;843370.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;0;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;100;1;0;0
5916;1163253.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5917;1296296.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5917;1425926.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5918;3425926.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;1;0;0;0;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5918;3768519.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;1;0;0
5919;353860.0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;100;10;10;0;10;0;0;0;1;0;0;0;100000;0;0;0;0;0;0;65;1013862;110869;40;0;0;0
